"Txhash","UnixTimestamp","DateTime","From","To","Value","ContractAddress","TokenName","TokenSymbol"
"0x193afed294797e956176915230f8f9a933e5c6abe072cec538c92481763bfbad","1627782237","2021-08-01 01:43:57","0xd00f061e42a3a506f01585ad3608484efcf97c8c","0x6fd70de9c12bcc6b7dd2a8db8badc5bad5618b21","0.01639489366085448","0x7ceb23fd6bc0add59e62ac25578270cff1b9f619","Wrapped Ether","WETH"
"0x80114632e4e2cae4ff33a88167c637cc5271b33e54e2782e4a8c1847679fc19e","1627782513","2021-08-01 01:48:33","0x6fd70de9c12bcc6b7dd2a8db8badc5bad5618b21","0x1dc36a87aa9bac21b31a657b70d1cb2b5f305348","0.01639489366085448","0x7ceb23fd6bc0add59e62ac25578270cff1b9f619","Wrapped Ether","WETH"
"0x585c6c57c42f43cf4be6acf3538e8a93f506872abe51228eee21723fdd133090","1627782619","2021-08-01 01:50:19","0x6fd70de9c12bcc6b7dd2a8db8badc5bad5618b21","0xce2cb67b11ec0399e39af20433927424f9033233","42.954957","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","USD Coin (PoS)","USDC"
"0x585c6c57c42f43cf4be6acf3538e8a93f506872abe51228eee21723fdd133090","1627782619","2021-08-01 01:50:19","0x0000000000000000000000000000000000000000","0x6fd70de9c12bcc6b7dd2a8db8badc5bad5618b21","0.000040589527354005","0xce2cb67b11ec0399e39af20433927424f9033233","FireBird Liquidity Provider","FLP"
"0x1a6913e2f75d1d06a6db95e1119576a0ebf5cf7c1ab41525e096c5babc141817","1627782895","2021-08-01 01:54:55","0x6fd70de9c12bcc6b7dd2a8db8badc5bad5618b21","0xbda1f897e851c7ef22cd490d2cf2dace4645a904","0.000040589527354005","0xce2cb67b11ec0399e39af20433927424f9033233","FireBird Liquidity Provider","FLP"
"0xaed2a8eb47636b94d4c410128bde8ce35fad8efe00e75ba64845cdfa415999b0","1627872519","2021-08-02 02:48:39","0xd00f061e42a3a506f01585ad3608484efcf97c8c","0x6fd70de9c12bcc6b7dd2a8db8badc5bad5618b21","0","0x7ceb23fd6bc0add59e62ac25578270cff1b9f619","Wrapped Ether","WETH"
"0x9bddc5b59e1d16d83ad5d117cd75cd4c127b92fc42a050b8c173a8f2bbac6443","1627872561","2021-08-02 02:49:21","0xd00f061e42a3a506f01585ad3608484efcf97c8c","0x6fd70de9c12bcc6b7dd2a8db8badc5bad5618b21","0.016487487816786465","0x7ceb23fd6bc0add59e62ac25578270cff1b9f619","Wrapped Ether","WETH"
"0x6a53187af350ae98ddf7fb9d8125215f7d0ea4d09ca250c6e2f64049c91213e0","1627872993","2021-08-02 02:56:33","0x6fd70de9c12bcc6b7dd2a8db8badc5bad5618b21","0xfeff91c350bb564ca5dc7d6f7dcd12ac092f94ff","0.016487487816786465","0x7ceb23fd6bc0add59e62ac25578270cff1b9f619","Wrapped Ether","WETH"
"0xdb74773de79dd4b35eeb704ef99b11f61fbe9a1fed6ab608188d0b8456f7eed3","1627873071","2021-08-02 02:57:51","0x6fd70de9c12bcc6b7dd2a8db8badc5bad5618b21","0xce2cb67b11ec0399e39af20433927424f9033233","41.873352","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","USD Coin (PoS)","USDC"
"0xdb74773de79dd4b35eeb704ef99b11f61fbe9a1fed6ab608188d0b8456f7eed3","1627873071","2021-08-02 02:57:51","0x0000000000000000000000000000000000000000","0x6fd70de9c12bcc6b7dd2a8db8badc5bad5618b21","0.000040583326205656","0xce2cb67b11ec0399e39af20433927424f9033233","FireBird Liquidity Provider","FLP"
